name,state,fips,status,nad27_zone,nad27_epsg,nad27_fz,nad83_zone,nad83_epsg,nad83_fz,utm
Autauga County,AL,01001,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Baldwin County,AL,01003,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Barbour County,AL,01005,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Bibb County,AL,01007,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Blount County,AL,01009,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Bullock County,AL,01011,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Butler County,AL,01013,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Calhoun County,AL,01015,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Chambers County,AL,01017,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Cherokee County,AL,01019,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Chilton County,AL,01021,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Choctaw County,AL,01023,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Clarke County,AL,01025,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Clay County,AL,01027,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Cleburne County,AL,01029,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Coffee County,AL,01031,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Colbert County,AL,01033,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Conecuh County,AL,01035,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Coosa County,AL,01037,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Covington County,AL,01039,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Crenshaw County,AL,01041,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Cullman County,AL,01043,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Dale County,AL,01045,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Dallas County,AL,01047,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
DeKalb County,AL,01049,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Elmore County,AL,01051,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Escambia County,AL,01053,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Etowah County,AL,01055,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Fayette County,AL,01057,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Franklin County,AL,01059,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Geneva County,AL,01061,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Greene County,AL,01063,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Hale County,AL,01065,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Henry County,AL,01067,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Houston County,AL,01069,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Jackson County,AL,01071,current,ALABAMA EAST,26729,0101,ALABAMA EAST,26929,0101,16
Jefferson County,AL,01073,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Lamar County,AL,01075,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
Lauderdale County,AL,01077,current,ALABAMA WEST,26730,0102,ALABAMA WEST,26930,0102,16
